���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575140934-2472,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PLAID OVERSHIRT,https://www.zara.com/us/en/plaid-overshirt-p01821375.html,PLAID OVERSHIRT Details,69.90 USD,Black / White
1575140639-2338,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,GRAFFITI PRINT SHIRT,https://www.zara.com/us/en/graffiti-print-shirt-p06917302.html,GRAFFITI PRINT SHIRT Details,49.90 USD,White
1575140424-2240,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,CONTRASTING DOUBLE COLLAR SHIRT,https://www.zara.com/us/en/contrasting-double-collar-shirt-p03894302.html,CONTRASTING DOUBLE COLLAR SHIRT Details,39.90 USD,White
1575140290-2180,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,STRIPED PRINTED SHIRT,https://www.zara.com/us/en/striped-printed-shirt-p05626819.html,STRIPED PRINTED SHIRT Details,39.90 USD,Navy Blue
1575140700-2366,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,FLOWY STRIPED SHIRT,https://www.zara.com/us/en/flowy-striped-shirt-p07545391.html,FLOWY STRIPED SHIRT Details,null,Navy Blue
1575140377-2217,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,TIE-DYE PRINT SHIRT,https://www.zara.com/us/en/tie-dye-print-shirt-p05734742.html,TIE-DYE PRINT SHIRT Details,49.90 USD,White
1575140937-2473,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,PLAID SHIRT,https://www.zara.com/us/en/plaid-shirt-p06608386.html,PLAID SHIRT Details,39.90 USD,Red
1575140723-2377,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,DENIM POLO SHIRT,https://www.zara.com/us/en/denim-polo-shirt-p07545321.html,DENIM POLO SHIRT Details,39.90 USD,Light Blue
1575140259-2166,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,RUSTIC POLO SHIRT,https://www.zara.com/us/en/rustic-polo-shirt-p07545313.html,RUSTIC POLO SHIRT Details,39.90 USD,White
1575140528-2286,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,WASHED TEXTURED OVERSHIRT,https://www.zara.com/us/en/washed-textured-overshirt-p06887300.html,WASHED TEXTURED OVERSHIRT Details,49.90 USD,Ecru
1575140792-2410,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,EASY CARE SHIRT,https://www.zara.com/us/en/easy-care-shirt-p08211330.html,EASY CARE SHIRT Details,35.90 USD,White
1575140637-2337,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,ABSTRACT PRINT SHIRT,https://www.zara.com/us/en/abstract-print-shirt-p05726270.html,ABSTRACT PRINT SHIRT Details,39.90 USD,Dark Blue
1575140217-2149,https://www.zara.com/us/en/man-shirts-l737.html?v1=1282821,MANDARIN COLLAR PIQU�� SHIRT,https://www.zara.com/us/en/mandarin-collar-piqu%C3%A9-shirt-p07545318.html,MANDARIN COLLAR PIQU�� SHIRT Details,35.90 USD,Sky Blue
