���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575138179-1629,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX SUEDE OVERSHIRT,https://www.zara.com/us/en/faux-suede-overshirt-p03548302.html,FAUX SUEDE OVERSHIRT Details,89.90 USD,Taupe Brown
1575138606-1831,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,LEATHER JACKET WITH POCKETS,https://www.zara.com/us/en/leather-jacket-with-pockets-p00706356.html,LEATHER JACKET WITH POCKETS Details,199.00 USD,Black
1575138631-1843,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX WOOL COACH JACKET,https://www.zara.com/us/en/faux-wool-coach-jacket-p01255300.html,FAUX WOOL COACH JACKET Details,129.00 USD,Black
1575138467-1764,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,WATER REPELLENT PUFFER JACKET,https://www.zara.com/us/en/water-repellent-puffer-jacket-p03918310.html,WATER REPELLENT PUFFER JACKET Details,119.00 USD,Beige
1575138503-1781,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,TEXTURED WEAVE BIKER JACKET,https://www.zara.com/us/en/textured-weave-biker-jacket-p00706402.html,TEXTURED WEAVE BIKER JACKET Details,89.90 USD,Khaki
1575138141-1611,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX SUEDE PADDED VEST,https://www.zara.com/us/en/faux-suede-padded-vest-p08281301.html,FAUX SUEDE PADDED VEST Details,59.90 USD,Grayish
1575138373-1720,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FLEECE CORDUROY OVERSHIRT,https://www.zara.com/us/en/fleece-corduroy-overshirt-p05575321.html,FLEECE CORDUROY OVERSHIRT Details,69.90 USD,Khaki
1575138297-1684,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,KNT/BMBR 03,https://www.zara.com/us/en/knt-bmbr-03-p00693005.html,KNT/BMBR 03 Details,129.00 USD,Green
1575138154-1617,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DENIM COACH JACKET,https://www.zara.com/us/en/denim-coach-jacket-p00840306.html,DENIM COACH JACKET Details,69.90 USD,Light Blue
1575138206-1642,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,ARCTIC CAMOUFLAGE PRINT JACKET WITH POUCH POCKET,https://www.zara.com/us/en/arctic-camouflage-print-jacket-with-pouch-pocket-p02553300.html,ARCTIC CAMOUFLAGE PRINT JACKET WITH POUCH POCKET Details,69.90 USD,White
1575138293-1682,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PTCH/FLD 03,https://www.zara.com/us/en/ptch-fld-03-p03445300.html,PTCH/FLD 03 Details,169.00 USD,Khaki
1575138275-1673,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,WATER REPELLENT TEXTURED JACKET,https://www.zara.com/us/en/water-repellent-textured-jacket-p06719310.html,WATER REPELLENT TEXTURED JACKET Details,89.90 USD,Khaki
1575138519-1789,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DOUBLE-FACED BIKER JACKET,https://www.zara.com/us/en/double-faced-biker-jacket-p03548300.html,DOUBLE-FACED BIKER JACKET Details,149.00 USD,Khaki
1575138388-1727,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,SORONA � PUFFER VEST,https://www.zara.com/us/en/sorona-%C2%AE-puffer-vest-p08574373.html,SORONA � PUFFER VEST Details,39.90 USD,Sand
1575138289-1680,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,M1 03,https://www.zara.com/us/en/m1-03-p06518391.html,M1 03 Details,149.00 USD,Oyster White
1575138239-1657,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,COMBINED DENIM JACKET,https://www.zara.com/us/en/combined-denim-jacket-p01889406.html,COMBINED DENIM JACKET Details,89.90 USD,Light Blue
1575138567-1812,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,DOUBLE COLLAR JACKET,https://www.zara.com/us/en/double-collar-jacket-p00706205.html,DOUBLE COLLAR JACKET Details,169.00 USD,Black
1575138320-1695,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PUFFER JACKET WITH INTERIOR HOOD,https://www.zara.com/us/en/puffer-jacket-with-interior-hood-p07248304.html,PUFFER JACKET WITH INTERIOR HOOD Details,89.90 USD,Black
1575138262-1667,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,TEXTURED STRETCH JACKET,https://www.zara.com/us/en/textured-stretch-jacket-p06861313.html,TEXTURED STRETCH JACKET Details,null,Black
1575138137-1609,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,ZIPPERED OVERSHIRT,https://www.zara.com/us/en/zippered-overshirt-p07545367.html,ZIPPERED OVERSHIRT Details,49.90 USD,Navy Blue
1575138326-1698,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,BOMBER JACKET,https://www.zara.com/us/en/bomber-jacket-p08281500.html,BOMBER JACKET Details,49.90 USD,Red
1575138367-1717,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,CONTRASTING QUILTED JACKET,https://www.zara.com/us/en/contrasting-quilted-jacket-p01792350.html,CONTRASTING QUILTED JACKET Details,49.90 USD,Cream
1575138490-1775,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FAUX LEATHER BOMBER JACKET,https://www.zara.com/us/en/faux-leather-bomber-jacket-p00706203.html,FAUX LEATHER BOMBER JACKET Details,149.00 USD,Black
1575138454-1758,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,PLAID UTILITY JACKET,https://www.zara.com/us/en/plaid-utility-jacket-p06861404.html,PLAID UTILITY JACKET Details,null,Gray
1575138396-1731,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,SOFT DENIM JACKET,https://www.zara.com/us/en/soft-denim-jacket-p08235390.html,SOFT DENIM JACKET Details,69.90 USD,Mid-Blue
1575138561-1809,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,FLEECE PLAID OVERSHIRT,https://www.zara.com/us/en/fleece-plaid-overshirt-p01821370.html,FLEECE PLAID OVERSHIRT Details,69.90 USD,Ocher
1575138571-1814,https://www.zara.com/us/en/man-jackets-l640.html?v1=1282787,REFLECTIVE PUFFER JACKET,https://www.zara.com/us/en/reflective-puffer-jacket-p06985318.html,REFLECTIVE PUFFER JACKET Details,119.00 USD,Gray
