���web-scraper-order,web-scraper-start-url,productlink,productlink-href,productname,productprice,color
1575137648-1490,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,CONTRASTING DOUBLE SIDED COAT,https://www.zara.com/us/en/contrasting-double-sided-coat-p03513340.html,CONTRASTING DOUBLE SIDED COAT Details,199.00 USD,Anthracite Gray
1575137782-1553,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE BREASTED TRENCH COAT,https://www.zara.com/us/en/double-breasted-trench-coat-p04432390.html,DOUBLE BREASTED TRENCH COAT Details,249.00 USD,Black
1575137575-1457,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,ASYMMETRICAL COAT,https://www.zara.com/us/en/asymmetrical-coat-p00706683.html,ASYMMETRICAL COAT Details,149.00 USD,Black
1575137735-1530,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,SGNT/CT 03,https://www.zara.com/us/en/sgnt-ct-03-p06477066.html,SGNT/CT 03 Details,299.00 USD,Khaki
1575137763-1544,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FLEECE OVERCOAT,https://www.zara.com/us/en/fleece-overcoat-p08281315.html,FLEECE OVERCOAT Details,149.00 USD,Black
1575137722-1524,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HERRINGBONE TEXTURED WEAVE COAT,https://www.zara.com/us/en/herringbone-textured-weave-coat-p05501304.html,HERRINGBONE TEXTURED WEAVE COAT Details,null,Anthracite Gray
1575137674-1501,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,THREE QUARTER LENGTH COAT WITH METAL BUTTONS,https://www.zara.com/us/en/three-quarter-length-coat-with-metal-buttons-p05803810.html,THREE QUARTER LENGTH COAT WITH METAL BUTTONS Details,229.00 USD,Navy Blue
1575137724-1525,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED PLAID COAT,https://www.zara.com/us/en/textured-plaid-coat-p00693348.html,TEXTURED PLAID COAT Details,199.00 USD,Gray
1575137578-1458,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED CAR COAT,https://www.zara.com/us/en/textured-car-coat-p00706355.html,TEXTURED CAR COAT Details,129.00 USD,Gray Marl
1575137776-1550,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED PLAID COAT,https://www.zara.com/us/en/textured-plaid-coat-p06433116.html,TEXTURED PLAID COAT Details,249.00 USD,Navy Blue
1575137706-1516,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,2 IN 1 TRAVELER PARKA,https://www.zara.com/us/en/2-in-1-traveler-parka-p06518354.html,2 IN 1 TRAVELER PARKA Details,169.00 USD,Black
1575137728-1527,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HNTNG/PRK 03,https://www.zara.com/us/en/hntng-prk-03-p03918316.html,HNTNG/PRK 03 Details,279.00 USD,Khaki
1575137605-1470,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TWO-TONE PLAID COAT,https://www.zara.com/us/en/two-tone-plaid-coat-p04432352.html,TWO-TONE PLAID COAT Details,169.00 USD,Black / White
1575137726-1526,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED STRETCH KNIT COAT,https://www.zara.com/us/en/textured-stretch-knit-coat-p08288352.html,TEXTURED STRETCH KNIT COAT Details,199.00 USD,Blue Marl
1575137718-1522,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HOODED THREE-QUARTER LENGTH PUFFER JACKET,https://www.zara.com/us/en/hooded-three-quarter-length-puffer-jacket-p00706905.html,HOODED THREE-QUARTER LENGTH PUFFER JACKET Details,299.00 USD,Black
1575137631-1482,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,PARKA WITH REMOVABLE HOOD,https://www.zara.com/us/en/parka-with-removable-hood-p01922350.html,PARKA WITH REMOVABLE HOOD Details,129.00 USD,Taupe Brown
1575137687-1507,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,THREE QUARTER LENGTH PUFFER JACKET WITH CONTRASTING LINING,https://www.zara.com/us/en/three-quarter-length-puffer-jacket-with-contrasting-lining-p01792302.html,THREE QUARTER LENGTH PUFFER JACKET WITH CONTRASTING LINING Details,149.00 USD,Khaki
1575137601-1468,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FAUX LEATHER COAT,https://www.zara.com/us/en/faux-leather-coat-p03548301.html,FAUX LEATHER COAT Details,169.00 USD,Brown
1575137755-1540,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,QUILTED PLAID COAT,https://www.zara.com/us/en/quilted-plaid-coat-p00706289.html,QUILTED PLAID COAT Details,249.00 USD,Mustard
1575137625-1479,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED DOUBLE BREASTED PEA COAT,https://www.zara.com/us/en/textured-double-breasted-pea-coat-p00706323.html,TEXTURED DOUBLE BREASTED PEA COAT Details,149.00 USD,Navy Blue
1575137778-1551,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE BREASTED TEXTURED HERRINGBONE COAT,https://www.zara.com/us/en/double-breasted-textured-herringbone-coat-p05876886.html,DOUBLE BREASTED TEXTURED HERRINGBONE COAT Details,249.00 USD,Gray Marl
1575137743-1534,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,STRM/PRK 03,https://www.zara.com/us/en/strm-prk-03-p06598048.html,STRM/PRK 03 Details,329.00 USD,Black
1575137661-1495,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT,https://www.zara.com/us/en/textured-weave-coat-p00706660.html,TEXTURED WEAVE COAT Details,149.00 USD,Black
1575137745-1535,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,CONTRASTING INTERIOR LINED PARKA,https://www.zara.com/us/en/contrasting-interior-lined-parka-p03427303.html,CONTRASTING INTERIOR LINED PARKA Details,199.00 USD,Khaki
1575137703-1515,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TECHNICAL PARKA,https://www.zara.com/us/en/technical-parka-p00706298.html,TECHNICAL PARKA Details,169.00 USD,Black
1575137603-1469,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,STRAIGHT BUTTONED COAT,https://www.zara.com/us/en/straight-buttoned-coat-p03057330.html,STRAIGHT BUTTONED COAT Details,199.00 USD,Black
1575137768-1546,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,PLAID THREE QUARTER LENGTH COAT WITH HOOD,https://www.zara.com/us/en/plaid-three-quarter-length-coat-with-hood-p09621380.html,PLAID THREE QUARTER LENGTH COAT WITH HOOD Details,199.00 USD,Taupe Brown
1575137701-1514,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,BASIC WATER REPELLENT JACKET,https://www.zara.com/us/en/basic-water-repellent-jacket-p02522350.html,BASIC WATER REPELLENT JACKET Details,169.00 USD,Black
1575137654-1492,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,QUILTED TEXTURED WEAVE COAT,https://www.zara.com/us/en/quilted-textured-weave-coat-p00706292.html,QUILTED TEXTURED WEAVE COAT Details,null,Black
1575137770-1547,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,DOUBLE-FACED HOODED THREE QUARTER LENGTH COAT,https://www.zara.com/us/en/double-faced-hooded-three-quarter-length-coat-p00706207.html,DOUBLE-FACED HOODED THREE QUARTER LENGTH COAT Details,199.00 USD,Dark Brown
1575137670-1499,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT,https://www.zara.com/us/en/textured-weave-coat-p00706611.html,TEXTURED WEAVE COAT Details,149.00 USD,Taupe Brown
1575137641-1487,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,HIGH COLLAR COAT,https://www.zara.com/us/en/high-collar-coat-p00706290.html,HIGH COLLAR COAT Details,199.00 USD,Light Gray
1575137712-1519,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,FAUX FUR COAT,https://www.zara.com/us/en/faux-fur-coat-p09621353.html,FAUX FUR COAT Details,299.00 USD,Dark Brown
1575137757-1541,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,CONTRASTING HOODED PARKA,https://www.zara.com/us/en/contrasting-hooded-parka-p00706303.html,CONTRASTING HOODED PARKA Details,169.00 USD,Black
1575137644-1488,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT WITH INVERTED LAPEL COLLAR,https://www.zara.com/us/en/textured-weave-coat-with-inverted-lapel-collar-p02880305.html,TEXTURED WEAVE COAT WITH INVERTED LAPEL COLLAR Details,199.00 USD,Black / White
1575137592-1464,https://www.zara.com/us/en/man-outerwear-l715.html?v1=1282966,TEXTURED WEAVE COAT,https://www.zara.com/us/en/textured-weave-coat-p00706357.html,TEXTURED WEAVE COAT Details,149.00 USD,Taupe Brown
